Transect	Point Number	May-93	Sep-93	May-94	Sep-94	May-95	Aug-95	May-96	Aug-96	May-97	Sep-97	May-98	Sep-98	May-99	Sep-99	 July-00	Aug-00	Jun-15	May-02	Jul-03	May-04	May-05	May-06	Jun-07	May-08	May-09	May-10	May-11	May-12	
SS	11	B	B	B	B	B	B	B	B	R	B	B	BG	PORPH	CV	SMC	X	B	B	B	B	DIAT	BG	MICRO	SMC	B	B	B	B	
SS	12	B	B	B	B	PP	B	B	B	MASTO	BG	CV	CV	B	SMC	B	X	B	B	B	B	DIAT	PORPH	CV	SC	PP	B	B	B	
SS	13	B	B	B	B	PP	B	B	B	B	B	B	B	B	B	B	X	B	B	B	B	DIAT	SC	MT	B	B	B	B	B	
SS	14	B	B	B	DIAT	PP	PP	PP	B	B	B	B	B	R	DIAT	B	X	B	R	B	B	SMC	B	B	B	B	B	B	B	
SS	15	B	B	B	DIAT	PP	PP	B	B	B	B	B	B	B	B	B	X	B	R	PP	SC	B	CV	B	B	B	B	B	B	
SS	16	B	SMC	B	DIAT	SC	PP	B	MT	B	B	B	PP	B	B	B	X	B	PORPH	MC	B	B	PP	MICRO	PP	PP	B	B	B	
SS	17	B	B	B	DIAT	CV	PP	SMC	B	MASTO	CV	SMC	B	PP	B	B	X	B	R	B	B	B	B	B	B	B	B	B	B	
SS	18	PP	B	B	PORPH	CV	PP	SC	B	B	B	B	B	B	B	B	X	B	B	B	B	B	B	B	B	B	B	B	CV	
SS	19	B	B	B	DIAT	B	PP	PP	B	DIAT	IRR	IRR	B	MASTO	B	B	X	B	B	B	ALARIA	B	B	B	B	B	B	B	B	
SS	20	B	PP	B	PP	B	B	B	B	SC	MASTO	IRR	PP	PP	PP	B	X	B	B	MC	MASTO	PP	B	B	B	B	B	B	B	
SS	21	PP	SMC	X	BG	PP	SMC	SMC	B	SC	MASTO	PP	IRR	MASTO	B	PP	X	B	B	B	ALARIA	B	B	PP	PP	PP	PP	B	B	
SS	22	PP	SMC	X	B	B	B	B	PP	PP	MASTO	PP	SMC	SMC	B	B	X	B	B	B	B	B	SMC	B	PP	PP	B	B	B	
SS	23	PP	B	X	B	B	PP	PP	B	IRR	HEDO	B	B	B	B	B	X	B	ALARIA	MC	PP	B	IRR	PP	SMC	B	B	B	SC	
SS	24	B	B	X	SMC	B	PP	B	B	SC	MASTO	MT	B	SMC	B	B	X	B	PORPH	PP	SMC	B	MASTO	B	B	B	B	B	ALARIA	
SS	25	PP	B	X	BG	MT	SMC	SMC	PP	DIAT	R	PP	POLY	CV	CV	B	X	B	B	B	ALARIA	PP	B	B	B	PP	B	PORPH	PP	
SS	26	B	B	X	DIAT	PP	PP	PP	PP	DIAT	R	B	PP	PP	B	B	X	B	SC	BG	ALARIA	B	B	B	B	B	B	PORPH	IRR	
SS	27	B	B	X	ACRO	MT	PP	SMC	SMC	B	B	PP	PP	PETAL	SC	SC	X	MT	SC	MC	PP	B	ALARIA	SMC	B	B	B	MASTO	IRR	
SS	28	B	B	X	SC	PP	PP	PP	PP	B	B	B	SMC	PORPH	MASTO	SC	X	CV	ALARIA	CV	MT	B	ALARIA	B	B	B	B	MASTO	IRR	
SS	29	B	B	X	DIAT	CV	B	B	B	SMC	B	B	B	ULVA	SC	SC	X	PP	B	MC	ALARIA	SC	SMC	B	B	PP	PP	B	B	
SS	30	B	CV	X	SMC	B	SMC	B	B	B	B	B	B	PETAL	MASTO	IRR	X	PP	B	B	B	SMC	B	BG	SC	PP	PP	SC	ALARIA	
SP	1	B	B	B	B	B	B	B	B	B	B	B	B	PP	B	B	X	B	B	MC	SMC	B	B	B	B	B	B	B	B	
SP	2	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	X	B	B	PP	SC	B	B	B	B	B	B	B	B	
SP	3	B	B	B	B	B	B	B	B	DIAT	BG	POLY	SC	R	CV	SMC	X	SMC	B	PP	MT	SMC	B	B	B	B	B	BG	MASTO	
SP	4	PP	PP	SMC	SMC	B	PP	B	X/DIAT	CV	SC	B	B	B	B	B	X	B	B	MC	SMC	B	B	B	B	B	B	HAL	SC	
SP	5	SMC	B	B	B	B	B	B	B	B	B	B	B	B	B	B	X	B	B	SC	SMC	B	B	SMC	B	B	B	HAL	HAL	
SP	6	B	B	B	B	B	B	B	B	B	B	B	SMC	B	B	B	X	B	B	PP	MT	SMC	B	B	B	B	B	HAL	MICRO	
SP	7	PP	CV	MT	B	B	B	B	B	B	B	B	B	R	B	B	X	B	B	SC	B	B	B	B	B	B	B	B	B	
SP	8	X	X	X	X	PP	PP	B	B	B	B	B	B	R	X	X	X	X	B	PP	B	B	B	B	B	X	B	B	B	
SP	9	SMC	MT	B	B	B	SMC	B	B	B	B	R	SC	POLY	SC	SC	X	B	B	SC	B	B	B	B	B	B	B	B	HAL	
SP	10	SMC	B	MT	B	MT	B	B	B	R	BG	MT	POLY	POLY	SMC	SMC	X	B	B	B	B	B	BG	PP	SC	PP	MT	PP	PP	
SP	11	SMC	SMC	MT	B	B	MT	B	B	SC	MASTO	MT	POLY	POLY	MT	SMC	X	SMC	B	B	B	B	BG	SC	SC	SC	SC	MT	SC	
SP	12	SC	B	B	SC	B	B	B	B	IRR	BG	MICRO	POLY	MICRO	CV	SMC	X	B	B	B	B	B	BG	SC	SC	SC	SC	MT	MT	
SP	13	SMC	B	SC	B	B	B	B	B	R	BG	BG	SC	R	SMC	SMC	X	B	B	B	B	B	SC	SC	SC	SC	MT	PP	PP	
SP	14	SMC	B	B	B	B	B	B	B	PP	PP	PP	ENDO	POLY	SMC	SMC	X	SMC	B	B	B	B	BG	SC	R	MT	SMC	SMC	B	
SP	15	SMC	CV	PP	PP	B	B	B	B	SC	BG	BG	SC	POLY	SC	SC	X	SMC	B	B	B	B	SC	SC	MT	SC	B	B	B	
SP	16	B	B	SC	SC	B	B	B	B	SC	BG	POLY	POLY	PP	PP	PP	X	PP	B	B	B	B	SC	CV	BG	PP	SMC	MT	SMC	
SP	17	SMC	B	B	B	B	B	SMC	B	B	B	SMC	B	B	B	B	X	B	B	B	B	B	SC	SC	SC	SMC	SMC	B	B	
SP	18	PP	PP	PP	PP	PP	B	B	B	B	B	B	B	B	B	B	X	B	B	B	B	B	SC	POLY	SMC	SMC	B	B	B	
SP	19	B	B	B	B	B	PP	B	B	B	B	B	B	B	B	B	X	B	B	SC	B	B	SC	B	B	B	B	B	B	
SP	20	MT	B	B	B	B	B	B	B	B	B	B	B	B	B	B	X	B	B	CV	PP	PP	PP	B	B	B	B	B	B	
SP	21	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	X	B	B	SC	B	B	B	R	B	B	B	B	B	
SP	22	X	X	X	X	B	B	B	B	B	B	B	B	B	B	B	X	B	B	SC	B	B	X	X	B	B	B	B	B	
SP	23	B	B	B	B	B	B	B	B	DIAT	IRR	MASTO	B	B	SMC	B	X	B	B	SC	B	B	B	B	B	B	B	B	DIAT	
SP	24	CV	CV	B	B	B	B	B	B	DIAT	B	MASTO	B	B	B	B	X	B	B	SC	B	B	B	B	B	B	B	B	R	
SP	25	CV	CV	CV	CV	SMC	B	B	B	B	B	B	B	B	B	B	X	B	B	CV	CV	B	DIAT	CV	B	B	B	B	MASTO	
SP	26	HAL	CV	SMC	SMC	B	SMC	B	B	B	B	PP	SMC	B	B	B	X	B	B	HAL	SMC	SMC	ULVA	MICRO	B	B	B	B	PETRO	
SP	27	B	B	B	B	B	B	B	B	DIAT	BG	MT	SC	SC	CV	B	X	B	B	B	B	B	BG	B	B	B	B	B	B	
SP	28	B	B	B	B	B	B	B	B	R	BG	R	PETRO	SC	MT	B	X	B	B	B	B	B	B	B	B	B	B	B	B	
SP	29	B	B	B	B	B	B	B	B	B	B	B	B	PORPH	SC	SC	X	MT	SC	B	B	B	SC	SC	SC	B	B	B	B	
SP	30	B	B	B	B	B	B	B	B	DIAT	BG	R	B	SCYTO	PETRO	R	X	CV	MT	B	B	B	SC	R	SC	CV	B	B	B	
ES	1	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	X	B	B	B	B	B	B	B	B	B	B	B	B	
